question,topic,confidence,btc_direction
"Bitcoin Up or Down - October 5, 7:30PM-7:45PM ET",Bitcoin price target,0.739,1
"Ethereum Up or Down - October 5, 7:30PM-7:45PM ET",Ethereum price target,0.695,1
"Bitcoin Up or Down - October 7, 5PM ET",Bitcoin price target,0.687,1
"Solana Up or Down - October 7, 5PM ET",other,0.438,0
"Bitcoin Up or Down - October 5, 8:00PM-8:15PM ET",Bitcoin price target,0.751,1
"Ethereum Up or Down - October 5, 8:15PM-8:30PM ET",Ethereum price target,0.684,1
"Bitcoin Up or Down - October 5, 8:30PM-8:45PM ET",Bitcoin price target,0.741,1
"Ethereum Up or Down - October 5, 8:30PM-8:45PM ET",Ethereum price target,0.692,1
"Ethereum Up or Down - October 5, 8:45PM-9:00PM ET",Ethereum price target,0.657,1
"Bitcoin Up or Down - October 5, 8:45PM-9:00PM ET",Bitcoin price target,0.762,1
"Bitcoin Up or Down - October 5, 9:00PM-9:15PM ET",Bitcoin price target,0.752,1
"Ethereum Up or Down - October 5, 9:00PM-9:15PM ET",Ethereum price target,0.688,1
"Ethereum Up or Down - October 5, 9:45PM-10:00PM ET",Ethereum price target,0.643,1
"Bitcoin Up or Down - October 7, 7PM ET",Bitcoin price target,0.675,1
"Solana Up or Down - October 7, 7PM ET",other,0.461,0
"Bitcoin Up or Down - October 5, 10:00PM-10:15PM ET",Bitcoin price target,0.722,1
"Ethereum Up or Down - October 5, 10:15PM-10:30PM ET",Ethereum price target,0.651,1
"Ethereum Up or Down - October 5, 10:30PM-10:45PM ET",Ethereum price target,0.651,1
"Bitcoin Up or Down - October 5, 10:30PM-10:45PM ET",Bitcoin price target,0.717,1
"Bitcoin Up or Down - October 7, 8PM ET",Bitcoin price target,0.68,1
"Ethereum Up or Down - October 5, 11:15PM-11:30PM ET",Ethereum price target,0.626,1
"Bitcoin Up or Down - October 5, 11:15PM-11:30PM ET",Bitcoin price target,0.726,1
"Ethereum Up or Down - October 5, 11:30PM-11:45PM ET",Ethereum price target,0.635,1
"Ethereum Up or Down - October 5, 11:45PM-12:00AM ET",Ethereum price target,0.597,1
"Bitcoin Up or Down - October 5, 11:45PM-12:00AM ET",Bitcoin price target,0.704,1
"Bitcoin Up or Down - October 7, 9PM ET",Bitcoin price target,0.678,1
"Ethereum Up or Down - October 6, 12:00AM-12:15AM ET",Ethereum price target,0.653,1
"Bitcoin Up or Down - October 6, 12:00AM-12:15AM ET",Bitcoin price target,0.711,1
"Bitcoin Up or Down - October 6, 12:15AM-12:30AM ET",Bitcoin price target,0.728,1
"Bitcoin Up or Down - October 6, 12:30AM-12:45AM ET",Bitcoin price target,0.713,1
"Bitcoin Up or Down - October 6, 12:45AM-1:00AM ET",Bitcoin price target,0.709,1
"Ethereum Up or Down - October 6, 12:45AM-1:00AM ET",Ethereum price target,0.611,1
"Bitcoin Up or Down - October 6, 1:00AM-1:15AM ET",Bitcoin price target,0.712,1
"Ethereum Up or Down - October 6, 1:00AM-1:15AM ET",Ethereum price target,0.673,1
"Bitcoin Up or Down - October 6, 1:15AM-1:30AM ET",Bitcoin price target,0.709,1
"Ethereum Up or Down - October 6, 1:30AM-1:45AM ET",Ethereum price target,0.647,1
"Solana Up or Down - October 7, 11PM ET",other,0.499,0
"Bitcoin Up or Down - October 6, 2:00AM-2:15AM ET",Bitcoin price target,0.719,1
"Bitcoin Up or Down - October 6, 2:15AM-2:30AM ET",Bitcoin price target,0.721,1
"Ethereum Up or Down - October 6, 2:30AM-2:45AM ET",Ethereum price target,0.648,1
"Bitcoin Up or Down - October 6, 2:30AM-2:45AM ET",Bitcoin price target,0.706,1
"Bitcoin Up or Down - October 6, 2:45AM-3:00AM ET",Bitcoin price target,0.718,1
"Ethereum Up or Down - October 6, 2:45AM-3:00AM ET",Ethereum price target,0.617,1
"Bitcoin Up or Down - October 8, 12AM ET",Bitcoin price target,0.691,1
"Will Bitcoin reach $136,000 October 6-12?",Bitcoin price target,0.674,1
"Will Bitcoin reach $132,000 October 6-12?",Bitcoin price target,0.681,1
"Will Bitcoin reach $130,000 October 6-12?",Bitcoin price target,0.682,1
"Will Bitcoin reach $128,000 October 6-12?",Bitcoin price target,0.673,1
"Ethereum Up or Down - October 8, 12AM ET",Ethereum price target,0.649,1
"Will Bitcoin dip to $122,000 October 6-12?",Bitcoin price target,0.585,1
"Will Bitcoin dip to $116,000 October 6-12?",Bitcoin price target,0.584,1
"Will Bitcoin dip to $112,000 October 6-12?",Bitcoin price target,0.59,1
"Will Bitcoin dip to $110,000 October 6-12?",Bitcoin price target,0.596,1
"Solana Up or Down - October 8, 12AM ET",other,0.441,0
"Will Ethereum reach $5,200 October 6-12?",Ethereum price target,0.675,1
"Will Ethereum reach $5,100 October 6-12?",Ethereum price target,0.653,1
"Will Ethereum reach $5,000 October 6-12?",Ethereum price target,0.665,1
"Will Ethereum reach $4,900 October 6-12?",Ethereum price target,0.663,1
"Will Ethereum reach $4,600 October 6-12?",Ethereum price target,0.669,1
"Will Ethereum dip to $4,400 October 6-12?",Ethereum price target,0.6,1
"Will Ethereum dip to $4,300 October 6-12?",Ethereum price target,0.605,1
Will Solana reach $290 October 6-12?,Solana price target,0.529,1
Will Solana reach $260 October 6-12?,Solana price target,0.547,1
Will Solana reach $240 October 6-12?,Solana price target,0.522,1
Will Solana dip to $210 October 6-12?,Solana price target,0.526,1
Will Solana dip to $200 October 6-12?,Solana price target,0.508,1
Will Solana dip to $160 October 6-12?,Solana price target,0.521,1
"Bitcoin Up or Down - October 6, 3:00AM-3:15AM ET",Bitcoin price target,0.734,1
"Ethereum Up or Down - October 6, 3:15AM-3:30AM ET",Ethereum price target,0.636,1
"Bitcoin Up or Down - October 6, 3:15AM-3:30AM ET",Bitcoin price target,0.739,1
"Bitcoin Up or Down - October 6, 3:30AM-3:45AM ET",Bitcoin price target,0.717,1
"Ethereum Up or Down - October 6, 3:45AM-4:00AM ET",Ethereum price target,0.631,1
"Bitcoin Up or Down - October 8, 1AM ET",Bitcoin price target,0.697,1
"Solana Up or Down - October 8, 1AM ET",other,0.42,0
"Bitcoin Up or Down - October 6, 4:00AM-4:15AM ET",Bitcoin price target,0.743,1
"Ethereum Up or Down - October 6, 4:15AM-4:30AM ET",Ethereum price target,0.659,1
"Bitcoin Up or Down - October 6, 4:30AM-4:45AM ET",Bitcoin price target,0.735,1
"Ethereum Up or Down - October 6, 4:30AM-4:45AM ET",Ethereum price target,0.679,1
"Bitcoin Up or Down - October 6, 4:45AM-5:00AM ET",Bitcoin price target,0.748,1
"Ethereum Up or Down - October 8, 2AM ET",Ethereum price target,0.657,1
"Solana Up or Down - October 8, 2AM ET",other,0.427,0
"Bitcoin Up or Down - October 6, 5:00AM-5:15AM ET",Bitcoin price target,0.739,1
"Ethereum Up or Down - October 6, 5:00AM-5:15AM ET",Ethereum price target,0.691,1
"Ethereum Up or Down - October 6, 5:15AM-5:30AM ET",Ethereum price target,0.672,1
"Ethereum Up or Down - October 6, 5:30AM-5:45AM ET",Ethereum price target,0.684,1
"Bitcoin Up or Down - October 6, 5:30AM-5:45AM ET",Bitcoin price target,0.743,1
"Ethereum Up or Down - October 6, 5:45AM-6:00AM ET",Ethereum price target,0.656,1
"Bitcoin Up or Down - October 6, 5:45AM-6:00AM ET",Bitcoin price target,0.764,1
"Bitcoin Up or Down - October 8, 3AM ET",Bitcoin price target,0.684,1
"Solana Up or Down - October 8, 3AM ET",other,0.418,0
"Ethereum Up or Down - October 6, 6:00AM-6:15AM ET",Ethereum price target,0.685,1
"Bitcoin Up or Down - October 6, 6:00AM-6:15AM ET",Bitcoin price target,0.737,1
"Bitcoin Up or Down - October 6, 6:15AM-6:30AM ET",Bitcoin price target,0.764,1
"Bitcoin Up or Down - October 6, 6:30AM-6:45AM ET",Bitcoin price target,0.741,1
"Bitcoin Up or Down - October 6, 7:00AM-7:15AM ET",Bitcoin price target,0.736,1
"Ethereum Up or Down - October 6, 7:15AM-7:30AM ET",Ethereum price target,0.669,1
"Bitcoin Up or Down - October 6, 7:15AM-7:30AM ET",Bitcoin price target,0.772,1
"Ethereum Up or Down - October 6, 7:45AM-8:00AM ET",Ethereum price target,0.649,1
"Bitcoin Up or Down - October 8, 5AM ET",Bitcoin price target,0.686,1
"Ethereum Up or Down - October 8, 5AM ET",Ethereum price target,0.646,1
"Solana Up or Down - October 8, 5AM ET",other,0.419,0
"Ethereum Up or Down - October 6, 8:00AM-8:15AM ET",Ethereum price target,0.683,1
"Bitcoin Up or Down - October 6, 8:15AM-8:30AM ET",Bitcoin price target,0.767,1
"Bitcoin Up or Down - October 6, 8:30AM-8:45AM ET",Bitcoin price target,0.746,1
"Bitcoin Up or Down - October 6, 8:45AM-9:00AM ET",Bitcoin price target,0.757,1
"Bitcoin Up or Down - October 6, 9:15AM-9:30AM ET",Bitcoin price target,0.759,1
"Bitcoin Up or Down - October 6, 9:30AM-9:45AM ET",Bitcoin price target,0.737,1
"Bitcoin Up or Down - October 6, 9:45AM-10:00AM ET",Bitcoin price target,0.733,1
"Ethereum Up or Down - October 6, 9:45AM-10:00AM ET",Ethereum price target,0.641,1
"Bitcoin Up or Down - October 8, 7AM ET",Bitcoin price target,0.68,1
"Bitcoin Up or Down - October 6, 10:15AM-10:30AM ET",Bitcoin price target,0.731,1
"Bitcoin Up or Down - October 6, 10:30AM-10:45AM ET",Bitcoin price target,0.718,1
"Ethereum Up or Down - October 6, 10:45AM-11:00AM ET",Ethereum price target,0.643,1
"Bitcoin Up or Down - October 6, 11:15AM-11:30AM ET",Bitcoin price target,0.734,1
Will Jason Miyares win the 2025 Virginia Attorney General election?,other,0.368,0
Will Microstrategy announce a Bitcoin purchase October 7-13?,MicroStrategy or corporate Bitcoin holding,0.319,1
MicroStrategy announces >4000 BTC purchase October 7-13?,MicroStrategy or corporate Bitcoin holding,0.488,1
"Ethereum Up or Down - October 6, 11:30AM-11:45AM ET",Ethereum price target,0.651,1
"Bitcoin Up or Down - October 6, 11:30AM-11:45AM ET",Bitcoin price target,0.715,1
Will the Virginia Governor election have the largest Democratic margin of victory?,other,0.392,0
Will the New Jersey Governor election have the largest Democratic margin of victory?,other,0.375,0
Will the New York City Mayor election have the largest Democratic margin of victory?,other,0.342,0
Will the California Proposition 50 referendum have the largest Democratic margin of victory?,other,0.323,0
"Bitcoin Up or Down - October 6, 11:45AM-12:00PM ET",Bitcoin price target,0.727,1
"Solana Up or Down - October 8, 9AM ET",other,0.423,0
Trump strikes another drug boat by Oct 15?,other,0.729,0
French election called by October 31?,global politics and foreign elections,0.561,0
"Ethereum Up or Down - October 6, 12:15PM-12:30PM ET",Ethereum price target,0.672,1
"Bitcoin Up or Down - October 6, 12:15PM-12:30PM ET",Bitcoin price target,0.756,1
Will Trump talk to Vladimir Putin in October?,other,0.436,0
Will Trump talk to Jerome Powell in October?,other,0.373,0
Will Trump talk to Xi Jinping in October?,other,0.465,0
Will Trump talk to Elon Musk in October?,other,0.534,0
Will Trump talk to Ursula von der Leyen in October?,other,0.421,0
Will Trump talk to Kim Jong Un in October?,other,0.495,0
Will Trump talk to Ahmed Al Shara in October?,other,0.417,0
Will Trump talk to Yoon Suk Yeol in October?,other,0.466,0
Will Trump talk to Narendra Modi in October?,other,0.456,0
"Bitcoin Up or Down - October 6, 12:30PM-12:45PM ET",Bitcoin price target,0.73,1
Will another candidate win the Irish Presidential Election?,other,0.764,0
"Bitcoin Up or Down - October 6, 12:45PM-1:00PM ET",Bitcoin price target,0.746,1
Will turnout be between 36% and 40% in the 2025 Irish Presidential Election?,other,0.427,0
Will turnout be between 44% and 48% in the 2025 Irish Presidential Election?,other,0.409,0
Will turnout be between 48% and 52% in the 2025 Irish Presidential Election?,other,0.41,0
"Bitcoin Up or Down - October 8, 10AM ET",Bitcoin price target,0.689,1
"Ethereum Up or Down - October 8, 10AM ET",Ethereum price target,0.649,1
"Solana Up or Down - October 8, 10AM ET",other,0.434,0
"Ethereum Up or Down - October 6, 1:00PM-1:15PM ET",Ethereum price target,0.72,1
Will turnout be less than 4.6 million in the 2025 Bolivia Presidential Election second round?,other,0.339,0
Will turnout be between 4.6 million and 5.0 million in the 2025 Bolivia Presidential Election second round?,other,0.369,0
Will turnout be between 5.0 million and 5.4 million in the 2025 Bolivia Presidential Election second round?,other,0.366,0
Will turnout be between 6.2 million and 6.6 million in the 2025 Bolivia Presidential Election second round?,other,0.368,0
"Ethereum Up or Down - October 6, 1:15PM-1:30PM ET",Ethereum price target,0.687,1
"Ethereum Up or Down - October 6, 1:30PM-1:45PM ET",Ethereum price target,0.701,1
"Bitcoin Up or Down - October 6, 1:45PM-2:00PM ET",Bitcoin price target,0.733,1
"Ethereum Up or Down - October 8, 11AM ET",Ethereum price target,0.647,1
"Solana Up or Down - October 8, 11AM ET",other,0.451,0
"Bitcoin Up or Down - October 6, 2:00PM-2:15PM ET",Bitcoin price target,0.755,1
"Ethereum Up or Down - October 6, 2:15PM-2:30PM ET",Ethereum price target,0.694,1
"Bitcoin Up or Down - October 6, 2:30PM-2:45PM ET",Bitcoin price target,0.741,1
"Ethereum Up or Down - October 6, 2:30PM-2:45PM ET",Ethereum price target,0.712,1
"Ethereum Up or Down - October 6, 2:45PM-3:00PM ET",Ethereum price target,0.669,1
Next French Prime Minister appointed by October 31?,other,0.344,0
"Bitcoin Up or Down - October 8, 12PM ET",Bitcoin price target,0.681,1
"Will the price of Bitcoin be less than $116,000 on October 13?",Bitcoin price target,0.623,1
"Will the price of Bitcoin be between $116,000 and $118,000 on October 13?",Bitcoin price target,0.725,1
"Will the price of Ethereum be above $4,300 on October 13?",Ethereum price target,0.692,1
"Will the price of Ethereum be above $4,500 on October 13?",Ethereum price target,0.693,1
"Will the price of Bitcoin be between $120,000 and $122,000 on October 13?",Bitcoin price target,0.719,1
"Will the price of Ethereum be above $4,800 on October 13?",Ethereum price target,0.676,1
"Will the price of Bitcoin be between $126,000 and $128,000 on October 13?",Bitcoin price target,0.726,1
"Will the price of Ethereum be above $4,900 on October 13?",Ethereum price target,0.681,1
"Will the price of Bitcoin be between $128,000 and $130,000 on October 13?",Bitcoin price target,0.734,1
"Will the price of Bitcoin be between $130,000 and $132,000 on October 13?",Bitcoin price target,0.727,1
"Will the price of Bitcoin be between $132,000 and $134,000 on October 13?",Bitcoin price target,0.717,1
"Will the price of Ethereum be above $5,100 on October 13?",Ethereum price target,0.691,1
Ethereum Up or Down on October 8?,Ethereum price target,0.602,1
"Ethereum Up or Down - October 8, 12PM ET",Ethereum price target,0.637,1
"Will the price of Bitcoin be greater than $134,000 on October 13?",Bitcoin price target,0.659,1
Solana Up or Down on October 8?,other,0.488,0
"Will the price of Bitcoin be above $114,000 on October 13?",Bitcoin price target,0.657,1
"Will the price of Ethereum be between $4,200 and $4,300 on October 13?",Ethereum price target,0.731,1
"Will the price of Ethereum be between $4,300 and $4,400 on October 13?",Ethereum price target,0.738,1
"Will the price of Bitcoin be above $118,000 on October 13?",Bitcoin price target,0.662,1
"Will the price of Ethereum be between $4,400 and $4,500 on October 13?",Ethereum price target,0.753,1
"Will the price of Bitcoin be above $120,000 on October 13?",Bitcoin price target,0.66,1
"Will the price of Ethereum be between $4,500 and $4,600 on October 13?",Ethereum price target,0.747,1
"Will the price of Bitcoin be above $122,000 on October 13?",Bitcoin price target,0.662,1
"Will the price of Ethereum be between $4,600 and $4,700 on October 13?",Ethereum price target,0.724,1
"Will the price of Ethereum be between $4,700 and $4,800 on October 13?",Ethereum price target,0.721,1
"Will the price of Ethereum be between $4,800 and $4,900 on October 13?",Ethereum price target,0.736,1
"Will the price of Ethereum be between $5,000 and $5,100 on October 13?",Ethereum price target,0.737,1
"Will the price of Ethereum be greater than $5,100 on October 13?",Ethereum price target,0.698,1
Will the price of Solana be less than $190 on October 13?,Solana price target,0.579,1
Will the price of Solana be between $190 and $200 on October 13?,Solana price target,0.603,1
Will the price of Solana be between $200 and $210 on October 13?,Solana price target,0.611,1
Will the price of Solana be between $210 and $220 on October 13?,Solana price target,0.614,1
Will the price of Solana be above $190 on October 13?,Solana price target,0.591,1
Will the price of Solana be between $220 and $230 on October 13?,Solana price target,0.603,1
Will the price of Solana be between $230 and $240 on October 13?,Solana price target,0.603,1
Will the price of Solana be above $230 on October 13?,Solana price target,0.586,1
Will the price of Solana be between $240 and $250 on October 13?,Solana price target,0.606,1
Will the price of Solana be above $260 on October 13?,Solana price target,0.606,1
Will the price of Solana be between $270 and $280 on October 13?,Solana price target,0.611,1
Will the price of Solana be above $270 on October 13?,Solana price target,0.594,1
Will the price of Solana be greater than $280 on October 13?,Solana price target,0.622,1
Will the price of Solana be above $280 on October 13?,Solana price target,0.598,1
Will the price of Solana be above $290 on October 13?,Solana price target,0.592,1
Will the price of XRP be less than $2.60 on October 13?,other,0.482,0
Will the price of XRP be between $2.60 and $2.70 on October 13?,other,0.506,0
Will the price of XRP be above $2.50 on October 13?,other,0.429,0
Will the price of XRP be between $2.80 and $2.90 on October 13?,other,0.5,0
Will the price of XRP be between $2.90 and $3.00 on October 13?,other,0.472,0
Will the price of XRP be above $2.90 on October 13?,other,0.426,0
Will the price of XRP be above $3.10 on October 13?,other,0.418,0
Will the price of XRP be between $3.30 and $3.40 on October 13?,other,0.467,0
Will the price of XRP be above $3.30 on October 13?,other,0.418,0
Will the price of XRP be above $3.40 on October 13?,other,0.413,0
Will the price of XRP be greater than $3.50 on October 13?,other,0.458,0
"Bitcoin Up or Down - October 6, 3:00PM-3:15PM ET",Bitcoin price target,0.757,1
"Ethereum Up or Down - October 6, 3:00PM-3:15PM ET",Ethereum price target,0.724,1
"Ethereum Up or Down - October 6, 3:15PM-3:30PM ET",Ethereum price target,0.697,1
"Ethereum Up or Down - October 6, 3:30PM-3:45PM ET",Ethereum price target,0.714,1
"Bitcoin Up or Down - October 6, 3:30PM-3:45PM ET",Bitcoin price target,0.757,1
Will Laurent Wauquiez be the next Prime Minister of France?,other,0.364,0
Will Éric Zemmour be the next Prime Minister of France?,other,0.348,0
Will Xavier Bertrand be the next Prime Minister of France?,other,0.375,0
Will Gérald Darmanin be the next Prime Minister of France?,other,0.342,0
Will Jean-Luc Mélenchon be the next Prime Minister of France?,other,0.413,0
Will Jean Castex be the next Prime Minister of France?,other,0.366,0
Will an election be called instead of appointing a Prime Minister?,other,0.857,0
Will Gabriel Attal be the next Prime Minister of France?,other,0.362,0
Will François Bayrou be the next Prime Minister of France?,other,0.384,0
Will Jean-Louis Borloo be the next Prime Minister of France?,other,0.378,0
Will Olivier Faure be the next Prime Minister of France?,other,0.396,0
Will Boris Vallaud be the next Prime Minister of France?,other,0.369,0
"Bitcoin Up or Down - October 8, 1PM ET",Bitcoin price target,0.694,1
"Ethereum Up or Down - October 8, 1PM ET",Ethereum price target,0.656,1
"Solana Up or Down - October 8, 1PM ET",other,0.398,0
"Ethereum Up or Down - October 6, 4:00PM-4:15PM ET",Ethereum price target,0.73,1
"Ethereum Up or Down - October 6, 4:15PM-4:30PM ET",Ethereum price target,0.706,1
"Bitcoin Up or Down - October 6, 4:15PM-4:30PM ET",Bitcoin price target,0.79,1
French election called by October 10?,global politics and foreign elections,0.577,0
"Ethereum Up or Down - October 6, 4:30PM-4:45PM ET",Ethereum price target,0.721,1
"Will Trump say ""Canada"" or ""Canadian"" 15+ times during events with PM of Canada on Oct 7?",other,0.24,0
"Will Trump say ""Million / Billion / Trillion"" 10+ times during events with PM of Canada on Oct 7?",other,0.384,0
"Will Trump say ""Tariff"" 7+ times during events with PM of Canada on Oct 7?",other,0.313,0
"Will Trump say ""Joe"" or ""Biden"" 5+ times during events with PM of Canada on Oct 7?",other,0.483,0
"Will Trump say ""Farmer"" during events with PM of Canada on Oct 7?",other,0.497,0
"Will Trump say ""Trump"" during events with PM of Canada on Oct 7?",other,0.383,0
"Will Trump say ""Putin"" during events with PM of Canada on Oct 7?",other,0.466,0
"Will Trump say ""Healthcare"" during events with PM of Canada on Oct 7?",other,0.396,0
"Will Trump say ""Transgender"" during events with PM of Canada on Oct 7?",other,0.452,0
"Will Trump say ""Obama"" during events with PM of Canada on Oct 7?",other,0.444,0
"Will Trump say ""Seven wars"" during events with PM of Canada on Oct 7?",other,0.453,0
"Will Trump say ""Crypto"" or ""Bitcoin"" during events with PM of Canada on Oct 7?",other,0.526,0
"Ethereum Up or Down - October 8, 2PM ET",Ethereum price target,0.66,1
"Solana Up or Down - October 8, 2PM ET",other,0.398,0
"Bitcoin Up or Down - October 6, 5:00PM-5:15PM ET",Bitcoin price target,0.765,1
"Ethereum Up or Down - October 6, 5:00PM-5:15PM ET",Ethereum price target,0.715,1
"Ethereum Up or Down - October 6, 5:15PM-5:30PM ET",Ethereum price target,0.701,1
"Will Trump say ""Tennessee"" this week? (October 7 - 12)",other,0.394,0
"Will Trump say ""Newscum"" or ""Pritzker"" this week? (October 7 - 12)",other,0.532,0
"Will Trump say ""Russell"" or ""Vought"" this week? (October 7 - 12)",other,0.464,0
"Will Trump say ""Board of Peace"" this week? (October 7 - 12)",other,0.326,0
"Will Trump say ""Fentanyl"" this week? (October 7 - 12)",other,0.311,0
"Will Trump say ""Drug cartel"" or ""Narco-terrorist"" this week? (October 7 - 12)",other,0.472,0
"Will Trump say ""Crypto"" or ""Bitcoin"" this week? (October 7 - 12)",other,0.47,0
"Will Leavitt say ""President"" 80+ times during next White House press briefing?",other,0.297,0
"Will Leavitt say ""Health"" 7+ times during next White House press briefing?",other,0.455,0
"Will Leavitt say ""Ceasefire"" during next White House press briefing?",other,0.301,0
"Will Leavitt say ""Chicago"" during next White House press briefing?",other,0.397,0
"Will Leavitt say ""China"" during next White House press briefing?",other,0.42,0
"Will Leavitt say ""Tariff"" during next White House press briefing?",other,0.247,0
"Will Leavitt say ""Ukraine"" during next White House press briefing?",other,0.53,0
"Will Leavitt say ""Maduro"" during next White House press briefing?",other,0.442,0
"Bitcoin Up or Down - October 6, 5:30PM-5:45PM ET",Bitcoin price target,0.756,1
"Ethereum Up or Down - October 6, 5:30PM-5:45PM ET",Ethereum price target,0.709,1
"Bitcoin Up or Down - October 6, 5:45PM-6:00PM ET",Bitcoin price target,0.766,1
"Ethereum Up or Down - October 6, 5:45PM-6:00PM ET",Ethereum price target,0.669,1
Will Elizabeth Holmes launch a coin by December 31?,other,0.284,0
"Will Trump say ""Finland"" or ""Canada"" 15+ times during events with President of Finland on Oct 9?",other,0.465,0
"Will Trump say ""Thousand / Million / Billion"" 10+ times during events with President of Finland on Oct 9?",other,0.363,0
"Will Trump say ""Ukraine"" or ""Russia"" 7+ times during events with President of Finland on Oct 9?",other,0.543,0
"Will Trump say ""Biden"" 3+ times during events with President of Finland on Oct 9?",other,0.457,0
"Will Trump say ""Tariff"" 3+ times during events with President of Finland on Oct 9?",other,0.308,0
"Will Trump say ""Nuclear"" during events with President of Finland on Oct 9?",other,0.434,0
"Will Trump say ""Hamas"" during events with President of Finland on Oct 9?",other,0.393,0
"Will Trump say ""Jared"" or ""Kushner"" during events with President of Finland on Oct 9?",other,0.55,0
"Will Trump say ""Border"" during events with President of Finland on Oct 9?",other,0.473,0
"Will Trump say ""NATO"" during events with President of Finland on Oct 9?",other,0.395,0
"Will Trump say ""Friend of mine"" during events with President of Finland on Oct 9?",other,0.459,0
"Will Trump say ""Crypto"" or ""Bitcoin"" during events with President of Finland on Oct 9?",other,0.509,0
"Bitcoin Up or Down - October 8, 3PM ET",Bitcoin price target,0.697,1
"Solana Up or Down - October 8, 3PM ET",other,0.407,0
"Ethereum Up or Down - October 6, 6:00PM-6:15PM ET",Ethereum price target,0.704,1
"Bitcoin Up or Down - October 6, 6:15PM-6:30PM ET",Bitcoin price target,0.778,1
"Bitcoin Up or Down - October 6, 6:30PM-6:45PM ET",Bitcoin price target,0.741,1
"Bitcoin Up or Down - October 8, 4PM ET",Bitcoin price target,0.697,1
"Ethereum Up or Down - October 8, 4PM ET",Ethereum price target,0.651,1
"Ethereum Up or Down - October 6, 7:00PM-7:15PM ET",Ethereum price target,0.699,1
"Ethereum Up or Down - October 6, 7:15PM-7:30PM ET",Ethereum price target,0.686,1
"Ethereum Up or Down - October 6, 7:30PM-7:45PM ET",Ethereum price target,0.689,1
"Bitcoin Up or Down - October 6, 7:30PM-7:45PM ET",Bitcoin price target,0.73,1
"Bitcoin Up or Down - October 6, 7:45PM-8:00PM ET",Bitcoin price target,0.754,1
"Ethereum Up or Down - October 6, 7:45PM-8:00PM ET",Ethereum price target,0.65,1
"Bitcoin Up or Down - October 6, 8:00PM-8:15PM ET",Bitcoin price target,0.744,1
Will Trump send the national guard to Seattle by December 31?,other,0.301,0
Will Trump send the national guard to Los Angeles by December 31?,other,0.269,0
"Ethereum Up or Down - October 6, 8:15PM-8:30PM ET",Ethereum price target,0.676,1
"Bitcoin Up or Down - October 6, 8:45PM-9:00PM ET",Bitcoin price target,0.754,1
"Ethereum Up or Down - October 6, 8:45PM-9:00PM ET",Ethereum price target,0.65,1
"Ethereum Up or Down - October 8, 6PM ET",Ethereum price target,0.642,1
"Solana Up or Down - October 8, 6PM ET",other,0.44,0
"Ethereum Up or Down - October 6, 9:00PM-9:15PM ET",Ethereum price target,0.684,1
"Bitcoin Up or Down - October 6, 9:00PM-9:15PM ET",Bitcoin price target,0.743,1
"Bitcoin Up or Down - October 6, 9:15PM-9:30PM ET",Bitcoin price target,0.758,1
"Ethereum Up or Down - October 6, 9:45PM-10:00PM ET",Ethereum price target,0.636,1
"Bitcoin Up or Down - October 6, 9:45PM-10:00PM ET",Bitcoin price target,0.703,1
"Bitcoin Up or Down - October 8, 7PM ET",Bitcoin price target,0.682,1
"Ethereum Up or Down - October 8, 7PM ET",Ethereum price target,0.641,1
"Solana Up or Down - October 8, 7PM ET",other,0.46,0
"Bitcoin Up or Down - October 6, 10:00PM-10:15PM ET",Bitcoin price target,0.712,1
"Ethereum Up or Down - October 6, 10:00PM-10:15PM ET",Ethereum price target,0.66,1
"Ethereum Up or Down - October 6, 10:15PM-10:30PM ET",Ethereum price target,0.637,1
"Bitcoin Up or Down - October 6, 10:15PM-10:30PM ET",Bitcoin price target,0.725,1
"Ethereum Up or Down - October 6, 10:30PM-10:45PM ET",Ethereum price target,0.643,1
"Bitcoin Up or Down - October 6, 10:30PM-10:45PM ET",Bitcoin price target,0.705,1
"Bitcoin Up or Down - October 6, 10:45PM-11:00PM ET",Bitcoin price target,0.717,1
"Bitcoin Up or Down - October 8, 8PM ET",Bitcoin price target,0.687,1
"Ethereum Up or Down - October 8, 8PM ET",Ethereum price target,0.64,1
"Bitcoin Up or Down - October 6, 11:00PM-11:15PM ET",Bitcoin price target,0.691,1
"Bitcoin Up or Down - October 6, 11:30PM-11:45PM ET",Bitcoin price target,0.691,1
"Ethereum Up or Down - October 6, 11:45PM-12:00AM ET",Ethereum price target,0.588,1
"Bitcoin Up or Down - October 8, 9PM ET",Bitcoin price target,0.693,1
"Ethereum Up or Down - October 8, 9PM ET",Ethereum price target,0.652,1
"Solana Up or Down - October 8, 9PM ET",other,0.498,0
"Ethereum Up or Down - October 7, 12:00AM-12:15AM ET",Ethereum price target,0.652,1
"Bitcoin Up or Down - October 7, 12:30AM-12:45AM ET",Bitcoin price target,0.713,1
"Ethereum Up or Down - October 7, 12:30AM-12:45AM ET",Ethereum price target,0.644,1
"Bitcoin Up or Down - October 7, 12:45AM-1:00AM ET",Bitcoin price target,0.711,1
"Bitcoin Up or Down - October 8, 10PM ET",Bitcoin price target,0.687,1
"Solana Up or Down - October 8, 10PM ET",other,0.498,0
"Bitcoin Up or Down - October 7, 1:00AM-1:15AM ET",Bitcoin price target,0.714,1
"Ethereum Up or Down - October 7, 1:15AM-1:30AM ET",Ethereum price target,0.645,1
"Bitcoin Up or Down - October 7, 1:15AM-1:30AM ET",Bitcoin price target,0.711,1
